"Mcode","McodeDescription","ParentMCode","DiseasePath","OmniDisease_ID","Active_Flag"
"MD-0042","Squamous neoplasms","MD-0001","Bladder / Squamous neoplasms",,-1
"MD-0043","Urothelial tumor","MD-0001","Bladder / Urothelial tumor",,-1
"MD-0044","Germ cell tumours","MD-0002","Brain / Germ cell tumours",,-1
"MD-0045","Lymphomas and haemopoietic neoplasms","MD-0002","Brain / Lymphomas and haemopoietic neoplasms",,0
"MD-0046","Non Tumor","MD-0002","Brain / Non Tumor",,0
"MD-0047","Tumors of Neuroepithelial Tissue","MD-0002","Brain / Tumors of Neuroepithelial Tissue",,-1
"MD-0048","Tumors of the Meninges","MD-0002","Brain / Tumors of the Meninges",,-1
"MD-0049","Tumours of the sellar region","MD-0002","Brain / Tumours of the sellar region",,-1
"MD-0050","Epithelial tumors","MD-0003","Breast / Epithelial tumors",,-1
"MD-0051","Fibroepithelial tumors","MD-0003","Breast / Fibroepithelial tumors",,-1
"MD-0052","Malignant lymphoma","MD-0003","Breast / Malignant lymphoma",,0
"MD-0053","Mesenchymal tumors","MD-0003","Breast / Mesenchymal tumors",,-1
"MD-0054","Metastatic tumours","MD-0003","Breast / Metastatic tumours",,0
"MD-0055","Myoepithelial lesions","MD-0003","Breast / Myoepithelial lesions",,-1
"MD-0056","Non Tumor","MD-0003","Breast / Non Tumor",,0
"MD-0057","Tumors of the male breast","MD-0003","Breast / Tumors of the male breast",,-1
"MD-0058","Tumors of the nipple","MD-0003","Breast / Tumors of the nipple",,0
"MD-0059","Epithelial tumors","MD-0004","Cervical / Epithelial tumors",,-1
"MD-0060","Lymphoid and hematopoietic tumors","MD-0004","Cervical / Lymphoid and hematopoietic tumors",,0
"MD-0061","Melanocytic tumors","MD-0004","Cervical / Melanocytic tumors",,-1
"MD-0062","Mesenchymal tumors and tumor-like conditions","MD-0004","Cervical / Mesenchymal tumors and tumor-like conditions",,0
"MD-0063","Miscellaneous tumors","MD-0004","Cervical / Miscellaneous tumors",,-1
"MD-0064","Mixed epithelial and mesenchymal tumors","MD-0004","Cervical / Mixed epithelial and mesenchymal tumors",,-1
"MD-0065","Non Tumor","MD-0004","Cervical / Non Tumor",,0
"MD-0066","Secondary tumors","MD-0004","Cervical / Secondary tumors",,0
"MD-0067","Epithelial tumors","MD-0005","Colorectal / Epithelial tumors",,-1
"MD-0068","Non Tumor","MD-0005","Colorectal / Non Tumor",,0
"MD-0069","Non-epithelial tumors","MD-0005","Colorectal / Non-epithelial tumors",,-1
"MD-0070","Polyps","MD-0005","Colorectal / Polyps",,0
"MD-0071","Secondary tumors","MD-0005","Colorectal / Secondary tumors",,0
"MD-0072","Epithelial tumors and related lesions","MD-0006","Endometrial / Epithelial tumors and related lesions",,-1
"MD-0073","Gestational trophoblastic disease","MD-0006","Endometrial / Gestational trophoblastic disease","OmniDx_0024",-1
"MD-0074","Lymphoid and hematopoietic tumors","MD-0006","Endometrial / Lymphoid and hematopoietic tumors",,0
"MD-0075","Mesenchymal tumors","MD-0006","Endometrial / Mesenchymal tumors",,-1
"MD-0076","Miscellaneous tumors","MD-0006","Endometrial / Miscellaneous tumors",,-1
"MD-0077","Mixed epithelial and mesenchymal tumors","MD-0006","Endometrial / Mixed epithelial and mesenchymal tumors",,-1
"MD-0078","Non Tumor","MD-0006","Endometrial / Non Tumor",,0
"MD-0079","Secondary tumors","MD-0006","Endometrial / Secondary tumors",,0
"MD-0080","Epithelial Tumors","MD-0007","Esophageal / Epithelial Tumors",,-1
"MD-0081","Non Tumor","MD-0007","Esophageal / Non Tumor",,0
"MD-0082","Non-epithelial tumors","MD-0007","Esophageal / Non-epithelial tumors",,-1
"MD-0083","Secondary tumors","MD-0007","Esophageal / Secondary tumors",,0
"MD-0084","Ear","MD-0008","Head & Neck / Ear",,-1
"MD-0085","Hypopharynx, Larynx, and Trachea","MD-0008","Head & Neck / Hypopharynx, Larynx, and Trachea",,-1
"MD-0086","Nasal Cavity and Paranasal Sinuses","MD-0008","Head & Neck / Nasal Cavity and Paranasal Sinuses",,-1
"MD-0087","Nasopharynx","MD-0008","Head & Neck / Nasopharynx","OmniDx_0068",-1
"MD-0088","Non Tumor","MD-0008","Head & Neck / Non Tumor","OmniDx_0039",0
"MD-0089","Odontogenic Tumors","MD-0008","Head & Neck / Odontogenic Tumors",,-1
"MD-0090","Oral Cavity and Oropharynx","MD-0008","Head & Neck / Oral Cavity and Oropharynx","OmniDx_0062",-1
"MD-0091","Germ Cell Tumor","MD-0009","Kidney / Germ Cell Tumor",,-1
"MD-0092","Mesenchymal Tumor","MD-0009","Kidney / Mesenchymal Tumor","OmniDx_0043",-1
"MD-0093","Metanephric Tumor","MD-0009","Kidney / Metanephric Tumor","OmniDx_0068",-1
"MD-0094","Metastatic Tumor","MD-0009","Kidney / Metastatic Tumor","OmniDx_0068",0
"MD-0095","Mixed Mesenchymal and Epithelial Tumor","MD-0009","Kidney / Mixed Mesenchymal and Epithelial Tumor",,-1
"MD-0096","Nephroblastic Tumor","MD-0009","Kidney / Nephroblastic Tumor","OmniDx_0043",-1
"MD-0097","Neuroendocrine Tumor","MD-0009","Kidney / Neuroendocrine Tumor",,-1
"MD-0098","Non Tumor","MD-0009","Kidney / Non Tumor","OmniDx_0068",0
"MD-0099","Renal Cell Tumor","MD-0009","Kidney / Renal Cell Tumor",,-1
"MD-0100","Urothelial tumor","MD-0009","Kidney / Urothelial tumor","OmniDx_0043",-1
"MD-0101","Epithelial abnormalities","MD-0010","Liver / Epithelial abnormalities",,0
"MD-0102","Epithelial tumours","MD-0010","Liver / Epithelial tumours",,-1
"MD-0103","Hemopoietic and lymphoid tumors","MD-0010","Liver / Hemopoietic and lymphoid tumors","OmniDx_0025",0
"MD-0104","Miscellaneous lesions","MD-0010","Liver / Miscellaneous lesions",,0
"MD-0105","Miscellaneous Tumors","MD-0010","Liver / Miscellaneous Tumors",,-1
"MD-0106","Non Tumor","MD-0010","Liver / Non Tumor",,0
"MD-0107","Non-epithelial tumours","MD-0010","Liver / Non-epithelial tumours",,0
"MD-0108","Secondary Liver tumors","MD-0010","Liver / Secondary Liver tumors",,0
"MD-0109","Benign epithelial","MD-0011","Lung / Benign epithelial",,0
"MD-0110","Carcinoma in-situ NOS","MD-0011","Lung / Carcinoma in-situ NOS",,0
"MD-0111","Dysplasia NOS","MD-0011","Lung / Dysplasia NOS",,0
"MD-0112","Lymphoproliferative","MD-0011","Lung / Lymphoproliferative",,0
"MD-0113","Malignant Epithelial","MD-0011","Lung / Malignant Epithelial",,-1
"MD-0114","Mesenchymal","MD-0011","Lung / Mesenchymal",,-1
"MD-0115","Metaplasia, NOS","MD-0011","Lung / Metaplasia, NOS",,0
"MD-0116","Metastatic ","MD-0011","Lung / Metastatic",,0
"MD-0117","Miscellaneous","MD-0011","Lung / Miscellaneous",,-1
"MD-0118","Non Tumor","MD-0011","Lung / Non Tumor",,0
"MD-0119","Acute Myeloid Leukemias (AMLs)","MD-0012","Hematopoietic / Acute Myeloid Leukemias (AMLs)",,0
"MD-0120","B-cell Neoplasms","MD-0012","Hematopoietic / B-cell Neoplasms",,0
"MD-0121","Chronic Myeloproliferative Diseases","MD-0012","Hematopoietic / Chronic Myeloproliferative Diseases",,0
"MD-0122","Histiocytic and Dendritic-cell Neoplasms","MD-0012","Hematopoietic / Histiocytic and Dendritic-cell Neoplasms",,0
"MD-0123","Hodgkin Lymphoma","MD-0012","Hematopoietic / Hodgkin Lymphoma",,0
"MD-0124","Lymphoid Hyperplasia","MD-0012","Hematopoietic / Lymphoid Hyperplasia",,0
"MD-0125","Malignant neoplasm, type cannot be determined","MD-0012","Hematopoietic / Malignant neoplasm, type cannot be determined",,0
"MD-0126","Mastocytosis","MD-0012","Hematopoietic / Mastocytosis",,0
"MD-0127","Myelodysplastic Syndromes","MD-0012","Hematopoietic / Myelodysplastic Syndromes",,0
"MD-0128","Myelodysplastic/Myeloproliferative Diseases","MD-0012","Hematopoietic / Myelodysplastic|Myeloproliferative Diseases",,0
"MD-0129","Non Tumor","MD-0012","Hematopoietic / Non Tumor",,0
"MD-0130","Sarcoid","MD-0012","Hematopoietic / Sarcoid",,0
"MD-0131","T-cell and NK-cell Neoplasms","MD-0012","Hematopoietic / T-cell and NK-cell Neoplasms",,0
"MD-0132","Benign melanocytic tumors","MD-0013","Melanoma / Benign melanocytic tumors",,0
"MD-0133","Melanocytic Tumors","MD-0013","Melanoma / Melanocytic Tumors",,-1
"MD-0134","Non Tumor","MD-0013","Melanoma / Non Tumor",,0
"MD-0135","Epithelial tumors","MD-0014","Mesothelioma / Epithelial tumors",,-1
"MD-0136","Lymphoproliferative disorders","MD-0014","Mesothelioma / Lymphoproliferative disorders",,-1
"MD-0137","Mesenchymal tumors","MD-0014","Mesothelioma / Mesenchymal tumors",,-1
"MD-0138","Mesothelial tumors","MD-0014","Mesothelioma / Mesothelial tumors",,-1
"MD-0139","Non Tumor","MD-0014","Mesothelioma / Non Tumor",,0
"MD-0140","Peritoneal tumors","MD-0014","Mesothelioma / Peritoneal tumors",,0
"MD-0141","Smooth muscle tumor","MD-0014","Mesothelioma / Smooth muscle tumor",,0
"MD-0142","Tumor of uncertain origin","MD-0014","Mesothelioma / Tumor of uncertain origin",,-1
"MD-0143","Germ cell sex cord-stromal tumors","MD-0015","Ovary / Germ cell sex cord-stromal tumors",,-1
"MD-0144","Germ Cell Tumors","MD-0015","Ovary / Germ Cell Tumors","OmniDx_0010",-1
"MD-0145","Lymphoid and hematopoietic tumors","MD-0015","Ovary / Lymphoid and hematopoietic tumors",,0
"MD-0146","Miscellaneous tumors","MD-0015","Ovary / Miscellaneous tumors",,-1
"MD-0147","Non Tumor","MD-0015","Ovary / Non Tumor",,0
"MD-0148","Sex Cord-Stromal Tumours","MD-0015","Ovary / Sex Cord-Stromal Tumours","OmniDx_0010",-1
"MD-0149","Surface epithelial-stromal tumors","MD-0015","Ovary / Surface epithelial-stromal tumors",,-1
"MD-0150","Tumor-like conditions","MD-0015","Ovary / Tumor-like conditions",,0
"MD-0151","Tumors of the rete ovarii","MD-0015","Ovary / Tumors of the rete ovarii",,-1
"MD-0152","Mixed exocrine - endocrine carcinoma","MD-0016","Pancreatic (Endocrine) / Mixed exocrine - endocrine carcinoma","OmniDx_0066",-1
"MD-0153","Non Tumor","MD-0016","Pancreatic (Endocrine) / Non Tumor",,0
"MD-0154","Poorly-differentiated endocrine carcinoma-small cell carcinoma","MD-0016","Pancreatic (Endocrine) / Poorly-differentiated endocrine carcinoma-small cell carcinoma",,0
"MD-0155","Well-differentiated endocrine carcinoma","MD-0016","Pancreatic (Endocrine) / Well-differentiated endocrine carcinoma","OmniDx_0063",-1
"MD-0156","Well-differentiated endocrine tumor","MD-0016","Pancreatic (Endocrine) / Well-differentiated endocrine tumor","OmniDx_0063",-1
"MD-0157","Epithelial Tumors","MD-0017","Pancreatic (Exocrine) / Epithelial Tumors",,-1
"MD-0158","Non Tumor","MD-0017","Pancreatic (Exocrine) / Non Tumor",,0
"MD-0159","Non-epithelial tumors","MD-0017","Pancreatic (Exocrine) / Non-epithelial tumors",,0
"MD-0160","Secondary tumors","MD-0017","Pancreatic (Exocrine) / Secondary tumors",,0
"MD-0161","Ductal adenocarcinoma","MD-0018","Prostate / Ductal adenocarcinoma","OmniDx_0026",-1
"MD-0162","Epithelial tumors","MD-0018","Prostate / Epithelial tumors",,-1
"MD-0163","Epithelial tumors (other)","MD-0018","Prostate / Epithelial tumors (other)",,-1
"MD-0164","Hematolymphoid tumors","MD-0018","Prostate / Hematolymphoid tumors",,0
"MD-0165","Mesenchymal tumors","MD-0018","Prostate / Mesenchymal tumors",,-1
"MD-0166","Neuroendocrine tumors","MD-0018","Prostate / Neuroendocrine tumors","OmniDx_0063",-1
"MD-0167","Non Tumor","MD-0018","Prostate / Non Tumor",,0
"MD-0168","Prostatic stromal tumors","MD-0018","Prostate / Prostatic stromal tumors","OmniDx_0068",-1
"MD-0169","Tumors of the Seminal Vesicles","MD-0018","Prostate / Tumors of the Seminal Vesicles",,-1
"MD-0170","Benign Epithelial Tumor","MD-0019","Salivary Glands / Benign Epithelial Tumor",,0
"MD-0171","Hematolymphoid Tumor","MD-0019","Salivary Glands / Hematolymphoid Tumor",,0
"MD-0172","Malignant Epithelial Tumor","MD-0019","Salivary Glands / Malignant Epithelial Tumor","OmniDx_0039",-1
"MD-0173","Non Tumor","MD-0019","Salivary Glands / Non Tumor",,0
"MD-0174","Secondary Tumor","MD-0019","Salivary Glands / Secondary Tumor",,0
"MD-0175","Soft Tissue Tumor","MD-0019","Salivary Glands / Soft Tissue Tumor",,0
"MD-0176","Adipocytic Tumours","MD-0020","Soft Tissue / Adipocytic Tumours",,-1
"MD-0177","Chondro-Osseous Tumours","MD-0020","Soft Tissue / Chondro-Osseous Tumours","OmniDx_0068",-1
"MD-0178","Fibroblastic / MyofibroblasticTumours","MD-0020","Soft Tissue / Fibroblastic | MyofibroblasticTumours","OmniDx_0068",-1
"MD-0179","Non Tumor","MD-0020","Soft Tissue / Non Tumor",,0
"MD-0180","Pericytic (Perivascular) Tumours","MD-0020","Soft Tissue / Pericytic (Perivascular) Tumours","OmniDx_0068",-1
"MD-0181","Skeletal Muscle Tumours","MD-0020","Soft Tissue / Skeletal Muscle Tumours",,-1
"MD-0182","Smooth Muscle Tumours","MD-0020","Soft Tissue / Smooth Muscle Tumours",,0
"MD-0183","So-Called Fibrohistiocytic Tumours","MD-0020","Soft Tissue / So-Called Fibrohistiocytic Tumours","OmniDx_0068",-1
"MD-0184","Tumours of peripheral nerves","MD-0020","Soft Tissue / Tumours of peripheral nerves","OmniDx_0068",-1
"MD-0185","Tumours Of Uncertain Differentiation","MD-0020","Soft Tissue / Tumours Of Uncertain Differentiation","OmniDx_0068",-1
"MD-0186","Vascular Tumours","MD-0020","Soft Tissue / Vascular Tumours",,-1
"MD-0187","Appendageal tumors","MD-0021","Skin / Appendageal tumors",,-1
"MD-0188","Keratinocytic tumors","MD-0021","Skin / Keratinocytic tumors",,-1
"MD-0189","Neural Tumors","MD-0021","Skin / Neural Tumors",,-1
"MD-0190","Non Tumor","MD-0021","Skin / Non Tumor",,0
"MD-0191","Epithelial tumors","MD-0022","Stomach / Epithelial tumors",,-1
"MD-0192","Malignant lymphomas","MD-0022","Stomach / Malignant lymphomas",,0
"MD-0193","Non Tumor","MD-0022","Stomach / Non Tumor",,0
"MD-0194","Non-epithelial tumors","MD-0022","Stomach / Non-epithelial tumors",,-1
"MD-0195","Secondary tumor","MD-0022","Stomach / Secondary tumor",,0
"MD-0196","Germ cell tumor","MD-0023","Testicular / Germ cell tumor","OmniDx_0073",-1
"MD-0197","Hematopoietic tumor","MD-0023","Testicular / Hematopoietic tumor",,0
"MD-0198","Mesenchymal tumors of the spermatic cord and testicular adnexae","MD-0023","Testicular / Mesenchymal tumors of the spermatic cord and testicular adnexae","OmniDx_0073",-1
"MD-0199","Miscellaneous tumor of the testis","MD-0023","Testicular / Miscellaneous tumor of the testis",,-1
"MD-0200","Non Tumor","MD-0023","Testicular / Non Tumor",,0
"MD-0201","Secondary tumor of the testis","MD-0023","Testicular / Secondary tumor of the testis",,0
"MD-0202","Sex cord/gonadal stromal tumors","MD-0023","Testicular / Sex cord|gonadal stromal tumors","OmniDx_0073",-1
"MD-0203","Teratoma","MD-0023","Testicular / Teratoma","OmniDx_0073",-1
"MD-0204","Tumor of more than one histological type (mixed form)","MD-0023","Testicular / Tumor of more than one histological type (mixed form)","OmniDx_0073",-1
"MD-0205","Tumor of one histological type","MD-0023","Testicular / Tumor of one histological type",,-1
"MD-0206","Tumor of the collecting ducts and rete","MD-0023","Testicular / Tumor of the collecting ducts and rete",,-1
"MD-0207","Tumors of the paratesticular structures","MD-0023","Testicular / Tumors of the paratesticular structures",,-1
"MD-0208","Non Tumor","MD-0024","Thyroid / Non Tumor",,0
"MD-0209","Other thyroid tumors","MD-0024","Thyroid / Other thyroid tumors",,-1
"MD-0210","Parathyroid tumors","MD-0024","Thyroid / Parathyroid tumors","OmniDx_0030",-1
"MD-0211","Thyroid adenoma and related tumors","MD-0024","Thyroid / Thyroid adenoma and related tumors",,-1
"MD-0212","Thyroid carcinomas","MD-0024","Thyroid / Thyroid carcinomas",,-1
"MD-0213","Fallopian Tube","MD-0025","Other Gynecological / Fallopian Tube",,-1
"MD-0214","Non Tumor","MD-0025","Other Gynecological / Non Tumor",,0
"MD-0215","Vagina","MD-0025","Other Gynecological / Vagina",,-1
"MD-0216","Vulva","MD-0025","Other Gynecological / Vulva",,-1
"MD-0217","Epithelial tumors","MD-0026","Small Intestine / Epithelial tumors",,-1
"MD-0218","Non Tumor","MD-0026","Small Intestine / Non Tumor",,0
"MD-0219","Non-epithelial tumors","MD-0026","Small Intestine / Non-epithelial tumors",,-1
"MD-0220","Polyps","MD-0026","Small Intestine / Polyps",,0
"MD-0221","Secondary tumors","MD-0026","Small Intestine / Secondary tumors",,0
"MD-0222","Bone-forming tumors","MD-0027","Bone / Bone-forming tumors",,-1
"MD-0223","Cartilage-forming tumors","MD-0027","Bone / Cartilage-forming tumors",,-1
"MD-0224","Giant cell tumor (osteoclastoma)","MD-0027","Bone / Giant cell tumor (osteoclastoma)",,0
"MD-0225","Marrow tumors (round cell tumors)","MD-0027","Bone / Marrow tumors (round cell tumors)","OmniDx_0068",-1
"MD-0226","Non Tumor","MD-0027","Bone / Non Tumor",,0
"MD-0227","Other connective tissue tumors","MD-0027","Bone / Other connective tissue tumors",,-1
"MD-0228","Other tumors","MD-0027","Bone / Other tumors",,-1
"MD-0229","Vascular tumors","MD-0027","Bone / Vascular tumors",,-1
"MD-0230","Adrenal cortical adenoma","MD-0028","Endocrine / Adrenal cortical adenoma","OmniDx_0030",-1
"MD-0231","Adrenal cortical carcinoma","MD-0028","Endocrine / Adrenal cortical carcinoma","OmniDx_0030",-1
"MD-0232","Non Tumor","MD-0028","Endocrine / Non Tumor",,0
"MD-0233","Parathyroid adenoma","MD-0028","Endocrine / Parathyroid adenoma",,0
"MD-0234","Parathyroid carcinoma","MD-0028","Endocrine / Parathyroid carcinoma","OmniDx_0030",-1
"MD-0235","Pheochromocytoma","MD-0028","Endocrine / Pheochromocytoma","OmniDx_0033",-1
"MD-0236","Pineal gland tumor","MD-0028","Endocrine / Pineal gland tumor",,0
"MD-0237","Morphologic Abnormality NOS","MD-0029","Normal|Unclassified / Morphologic Abnormality NOS",,0
"MD-0238","Neoplasm, uncertain whether benign or malignant","MD-0029","Normal|Unclassified / Neoplasm, uncertain whether benign or malignant",,0
"MD-0239","No Evidence of Malignancy","MD-0029","Normal|Unclassified / No Evidence of Malignancy",,0
"MD-0240","Non Tumor","MD-0029","Normal|Unclassified / Non Tumor",,0
"MD-0241","Normal Tissue NOS","MD-0029","Normal|Unclassified / Normal Tissue NOS",,0
"MD-0242","Unclassfied Malignant Tumor","MD-0029","Normal|Unclassified / Unclassfied Malignant Tumor",,0
"MD-0243","Epithelial tumors","MD-0030","Appendix / Epithelial tumors",,-1
"MD-0244","Non Tumor","MD-0030","Appendix / Non Tumor",,0
"MD-0245","Non-epithelial tumors","MD-0030","Appendix / Non-epithelial tumors",,-1
"MD-0246","Polyps","MD-0030","Appendix / Polyps",,0
"MD-0247","Secondary tumors","MD-0030","Appendix / Secondary tumors",,0
"MD-0248","Adenocarcinoma, NOS","MD-0031","Unknown primary / Adenocarcinoma, NOS","OmniDx_0076",-1
"MD-0249","Carcinoma","MD-0031","Unknown primary / Carcinoma","OmniDx_0076",-1
"MD-0250","Malignant tumor","MD-0031","Unknown primary / Malignant tumor",,0
"MD-0251","Non Tumor","MD-0031","Unknown primary / Non Tumor",,0
"MD-0252","Sarcoma, NOS","MD-0031","Unknown primary / Sarcoma, NOS","OmniDx_0068",-1
"MD-0253","Squamous cell carcinoma, NOS","MD-0031","Unknown primary / Squamous cell carcinoma, NOS",,-1
"MD-0254","Glandular neoplasms","MD-0032","Ureter / Glandular neoplasms",,-1
"MD-0255","Hematopoietic and Lymphoid tumors","MD-0032","Ureter / Hematopoietic and Lymphoid tumors",,0
"MD-0256","Melanocytic tumors","MD-0032","Ureter / Melanocytic tumors",,-1
"MD-0257","Mesenchymal tumors","MD-0032","Ureter / Mesenchymal tumors",,-1
"MD-0258","Miscellaneous tumors","MD-0032","Ureter / Miscellaneous tumors",,-1
"MD-0259","Neuroendocrine tumors","MD-0032","Ureter / Neuroendocrine tumors",,0
"MD-0260","Squamous neoplasms","MD-0032","Ureter / Squamous neoplasms",,-1
"MD-0261","Urothelial tumor","MD-0032","Ureter / Urothelial tumor",,-1
"MD-0262","Epithelial tumors","MD-0033","Mediastinum & Thymus / Epithelial tumors",,-1
"MD-0263","Germ Cell Tumors","MD-0033","Mediastinum & Thymus / Germ Cell Tumors","OmniDx_0074",-1
"MD-0264","Mediastinal lymphomas and hematopoietic neoplasms","MD-0033","Mediastinum & Thymus / Mediastinal lymphomas and hematopoietic neoplasms",,-1
"MD-0265","Mesenchymal tumors of the thymus and mediastinum","MD-0033","Mediastinum & Thymus / Mesenchymal tumors of the thymus and mediastinum",,0
"MD-0266","Metastasis to thymus and anterior mediastinum","MD-0033","Mediastinum & Thymus / Metastasis to thymus and anterior mediastinum",,0
"MD-0267","Rare tumors of the mediastinum","MD-0033","Mediastinum & Thymus / Rare tumors of the mediastinum",,0
"MD-0268","Epithelial tumors","MD-0034","Gallbladder & Extrahepatic bile duct / Epithelial tumors",,-1
"MD-0269","Malignant lymphoma","MD-0034","Gallbladder & Extrahepatic bile duct / Malignant lymphoma",,0
"MD-0270","Non-epithelial tumours","MD-0034","Gallbladder & Extrahepatic bile duct / Non-epithelial tumours",,-1
"MD-0271","Secondary tumor","MD-0034","Gallbladder & Extrahepatic bile duct / Secondary tumor",,0
"MD-0272","Adenocarcinoma","MD-0035","Bladder / Glandular neoplasms / Adenocarcinoma","OmniDx_0019",-1
"MD-0273","Angiosarcoma","MD-0038","Bladder / Mesenchymal tumors / Angiosarcoma","OmniDx_0068",-1
"MD-0274","Carcinoid","MD-0040","Bladder / Neuroendocrine tumors / Carcinoid","OmniDx_0063",-1
"MD-0275","Carcinoma of Skene, Cowper, and Littre glands","MD-0039","Bladder / Miscellaneous tumors / Carcinoma of Skene, Cowper, and Littre glands","OmniDx_0019",-1
"MD-0276","Giant cell","MD-0043","Bladder / Urothelial tumor / Giant cell",,0
"MD-0277","Hemangioma","MD-0038","Bladder / Mesenchymal tumors / Hemangioma","OmniDx_0040",-1
"MD-0278","Infiltrating urothelial carcinoma","MD-0043","Bladder / Urothelial tumor / Infiltrating urothelial carcinoma","OmniDx_0019",-1
"MD-0279","Leiomyoma","MD-0038","Bladder / Mesenchymal tumors / Leiomyoma","OmniDx_0068",-1
"MD-0280","Leiomyosarcoma","MD-0038","Bladder / Mesenchymal tumors / Leiomyosarcoma","OmniDx_0068",-1
"MD-0281","Lymphoepithelioma-like","MD-0043","Bladder / Urothelial tumor / Lymphoepithelioma-like","OmniDx_0019",-1
"MD-0282","Lymphoma","MD-0036","Bladder / Hematopoietic and Lymphoid tumors / Lymphoma",,0
"MD-0283","Malignant fibrous histiocytoma","MD-0038","Bladder / Mesenchymal tumors / Malignant fibrous histiocytoma","OmniDx_0068",-1
"MD-0284","Malignant melanoma","MD-0037","Bladder / Melanocytic tumors / Malignant melanoma","OmniDx_0005",-1
"MD-0285","Metastatic tumors and tumors extending for other organs","MD-0039","Bladder / Miscellaneous tumors / Metastatic tumors and tumors extending for other organs",,0
"MD-0286","Micropapillary","MD-0043","Bladder / Urothelial tumor / Micropapillary","OmniDx_0019",-1
"MD-0287","Nevus","MD-0037","Bladder / Melanocytic tumors / Nevus",,0
"MD-0288","Non-invasive urothelial neoplasias","MD-0043","Bladder / Urothelial tumor / Non-invasive urothelial neoplasias",,0
"MD-0289","Osteosarcoma","MD-0038","Bladder / Mesenchymal tumors / Osteosarcoma","OmniDx_0068",-1
"MD-0290","Other","MD-0038","Bladder / Mesenchymal tumors / Other",,0
"MD-0291","Paraganglioma","MD-0040","Bladder / Neuroendocrine tumors / Paraganglioma","OmniDx_0063",-1
"MD-0292","Plasmacytoma","MD-0036","Bladder / Hematopoietic and Lymphoid tumors / Plasmacytoma",,0
"MD-0293","Rhabdomyosarcoma","MD-0038","Bladder / Mesenchymal tumors / Rhabdomyosarcoma","OmniDx_0068",-1
"MD-0294","Sarcomatoid","MD-0043","Bladder / Urothelial tumor / Sarcomatoid","OmniDx_0019",-1
"MD-0295","Small cell carcinoma","MD-0040","Bladder / Neuroendocrine tumors / Small cell carcinoma","OmniDx_0063",-1
"MD-0296","Squamous cell carcinoma","MD-0042","Bladder / Squamous neoplasms / Squamous cell carcinoma","OmniDx_0019",-1
"MD-0297","Squamous cell papilloma","MD-0042","Bladder / Squamous neoplasms / Squamous cell papilloma",,0
"MD-0298","Undifferentiated","MD-0043","Bladder / Urothelial tumor / Undifferentiated","OmniDx_0019",-1
"MD-0299","Verrucous carcinoma","MD-0042","Bladder / Squamous neoplasms / Verrucous carcinoma","OmniDx_0019",-1
"MD-0300","Villous adenoma","MD-0035","Bladder / Glandular neoplasms / Villous adenoma",,0
