"OmniMap_IDX","Resource","ResourceDiseaseID","ResourceDiseaseName","Skip_Flag","Bypass_Flag","OmniDisease_ID","OmniDisease","OmniDiseaseType","MCode","DiseasePath","Receptors","ReceptorsStatus"
24,"JAX",3950,"adrenal carcinoma",-1,0,"OmniDx_0032","Brain and Nervous System Cancer","Solid Tumor","MD-1142","Brain / Tumors of Neuroepithelial Tissue / Neuroblastic tumours / Neuroblastomas of the adrenal gland and sympathetic nervous system",,
25,"JAX",660,"adrenal cortex cancer",0,0,"OmniDx_0030","Endocrine Gland Cancer","Solid Tumor","MD-0230","Endocrine / Adrenal cortical adenoma",,
26,"JAX",660,"adrenal cortex cancer",0,0,"OmniDx_0030","Endocrine Gland Cancer","Solid Tumor","MD-0231","Endocrine / Adrenal cortical carcinoma",,
27,"JAX",3953,"adrenal gland cancer",-1,0,"OmniDx_0032","Brain and Nervous System Cancer","Solid Tumor","MD-1142","Brain / Tumors of Neuroepithelial Tissue / Neuroblastic tumours / Neuroblastomas of the adrenal gland and sympathetic nervous system",,
28,"JAX",50892,"adrenal gland pheochromocytoma",0,0,"OmniDx_0033","Adrenal Gland Cancer","Solid Tumor","MD-0235","Endocrine / Pheochromocytoma",,
29,"JAX",5719,"adrenal medulla cancer",0,0,"OmniDx_0033","Adrenal Gland Cancer","Solid Tumor","MD-0235","Endocrine / Pheochromocytoma",,
30,"JAX",7379,"adrenal medulla carcinoma",0,0,"OmniDx_0033","Adrenal Gland Cancer","Solid Tumor","MD-0235","Endocrine / Pheochromocytoma",,
31,"JAX",3948,"adrenocortical carcinoma",0,0,"OmniDx_0030","Endocrine Gland Cancer","Solid Tumor","MD-0230","Endocrine / Adrenal cortical adenoma",,
32,"JAX",3948,"adrenocortical carcinoma",0,0,"OmniDx_0030","Endocrine Gland Cancer","Solid Tumor","MD-0231","Endocrine / Adrenal cortical carcinoma",,
33,"JAX",4813,"adult brain stem glioma",0,0,"OmniDx_0032","Brain and Nervous System Cancer","Solid Tumor","MD-1122","Brain / Tumors of Neuroepithelial Tissue / Glial tumours of uncertain origin / Gliomatosis cerebri",,
34,"JAX",4813,"adult brain stem glioma",0,0,"OmniDx_0032","Brain and Nervous System Cancer","Solid Tumor","MD-0315","Brain / Tumors of Neuroepithelial Tissue / Mixed gliomas",,
35,"JAX",4813,"adult brain stem glioma",0,0,"OmniDx_0032","Brain and Nervous System Cancer","Solid Tumor","MD-1097","Brain / Tumors of Neuroepithelial Tissue / Mixed gliomas / Anaplastic oligoastrocytoma",,
36,"JAX",4813,"adult brain stem glioma",-1,0,"OmniDx_0032","Brain and Nervous System Cancer","Solid Tumor","MD-1145","Brain / Tumors of Neuroepithelial Tissue / Mixed gliomas / Oligoastrocytoma",,
37,"JAX",4813,"adult brain stem glioma",0,0,"OmniDx_0032","Brain and Nervous System Cancer","Solid Tumor","MD-1096","Brain / Tumors of Neuroepithelial Tissue / Neuronal and mixed neuronal-glial tumours / Anaplastic ganglioglioma",,
38,"JAX",4813,"adult brain stem glioma",0,0,"OmniDx_0032","Brain and Nervous System Cancer","Solid Tumor","MD-1120","Brain / Tumors of Neuroepithelial Tissue / Neuronal and mixed neuronal-glial tumours / Ganglioglioma",,
39,"JAX",4813,"adult brain stem glioma",0,0,"OmniDx_0032","Brain and Nervous System Cancer","Solid Tumor","MD-1098","Brain / Tumors of Neuroepithelial Tissue / Oligodendroglial tumours / Anaplastic oligodendroglioma",,
40,"JAX",4813,"adult brain stem glioma",0,0,"OmniDx_0032","Brain and Nervous System Cancer","Solid Tumor","MD-1146","Brain / Tumors of Neuroepithelial Tissue / Oligodendroglial tumours / Oligodendroglioma",,
41,"JAX",8282,"adult epithelioid sarcoma",0,0,"OmniDx_0068","Sarcoma","Solid Tumor","MD-1759","Soft Tissue / Tumours Of Uncertain Differentiation / Malignant / Epithelioid sarcoma",,
42,"JAX",8282,"adult epithelioid sarcoma",0,0,"OmniDx_0068","Sarcoma","Solid Tumor","MD-1826","Soft Tissue / Fibroblastic | MyofibroblasticTumours / Malignant / Sclerosing epithelioid fibrosarcoma",,
43,"JAX",8282,"adult epithelioid sarcoma",0,0,"OmniDx_0068","Sarcoma","Solid Tumor","MD-1978","Other Gynecological / Vulva / Soft tissue tumors / Proximal epithelioid sarcoma",,
44,"JAX",3516,"adult fibrosarcoma",0,0,"OmniDx_0068","Sarcoma","Solid Tumor","MD-1731","Soft Tissue / Fibroblastic | MyofibroblasticTumours / Malignant / Adult fibrosarcoma",,
45,"JAX",5693,"adult liposarcoma",0,0,"OmniDx_0046","Lipomatous Neoplasms","Solid Tumor","MD-0356","Breast / Mesenchymal tumors / Liposarcoma",,
46,"JAX",5693,"adult liposarcoma",0,0,"OmniDx_0046","Lipomatous Neoplasms","Solid Tumor","MD-1054","Mediastinum & Thymus / Mesenchymal tumors of the thymus and mediastinum / Liposarcoma of the mediastinum 8850|3",,
47,"JAX",5693,"adult liposarcoma",0,0,"OmniDx_0046","Lipomatous Neoplasms","Solid Tumor","MD-1132","Brain / Tumors of the Meninges / Mesenchymal, non-meningothelial tumours / Liposarcoma (intracranial)",,
48,"JAX",5693,"adult liposarcoma",0,0,"OmniDx_0046","Lipomatous Neoplasms","Solid Tumor","MD-1707","Prostate / Tumors of the Seminal Vesicles / Mesenchymal tumors / Liposarcoma",,
49,"JAX",5693,"adult liposarcoma",0,0,"OmniDx_0046","Lipomatous Neoplasms","Solid Tumor","MD-1746","Soft Tissue / Adipocytic Tumours / Malignant / Dedifferentiated liposarcoma",,
50,"JAX",5693,"adult liposarcoma",0,0,"OmniDx_0046","Lipomatous Neoplasms","Solid Tumor","MD-1791","Soft Tissue / Adipocytic Tumours / Malignant / Liposarcoma, not otherwise specified",,
51,"JAX",5693,"adult liposarcoma",0,0,"OmniDx_0046","Lipomatous Neoplasms","Solid Tumor","MD-1958","Other Gynecological / Vulva / Soft tissue tumors / Liposarcoma",,
52,"JAX",5693,"adult liposarcoma",0,0,"OmniDx_0046","Lipomatous Neoplasms","Solid Tumor","MD-2032","Bone / Other connective tissue tumors / Malignant / Liposarcoma",,
53,"JAX",5693,"adult liposarcoma",0,0,"OmniDx_0046","Lipomatous Neoplasms","Solid Tumor","MD-2322","Head & Neck / Hypopharynx, Larynx, and Trachea / Soft tissue tumors / Malignant tumors / Liposarcoma",,
54,"JAX",5825,"adult lymphoma",0,-1,,,,,,,
55,"JAX",6332,"adult maligt hemangiopericytoma",-1,0,,,,,,,
56,"JAX",3186,"adult oligodendroglioma",0,0,"OmniDx_0032","Brain and Nervous System Cancer","Solid Tumor","MD-1098","Brain / Tumors of Neuroepithelial Tissue / Oligodendroglial tumours / Anaplastic oligodendroglioma",,
57,"JAX",3186,"adult oligodendroglioma",0,0,"OmniDx_0032","Brain and Nervous System Cancer","Solid Tumor","MD-1146","Brain / Tumors of Neuroepithelial Tissue / Oligodendroglial tumours / Oligodendroglioma",,
58,"JAX",3186,"adult oligodendroglioma",0,0,"OmniDx_0032","Brain and Nervous System Cancer","Solid Tumor","MD-0318","Brain / Tumors of Neuroepithelial Tissue / Oligodendroglial tumours",,
59,"JAX",50523,"adult T-cell leukemia",0,-1,,,,,,,
60,"JAX",5590,"aggressive digital papillary adenocarcinoma",-1,0,,,,,,,
61,"JAX",4051,"alveolar rhabdomyosarcoma",0,0,"OmniDx_0068","Sarcoma","Solid Tumor","MD-1732","Soft Tissue / Skeletal Muscle Tumours / Malignant / Alveolar rhabdomyosarcoma",,
62,"JAX",4051,"alveolar rhabdomyosarcoma",0,0,"OmniDx_0068","Sarcoma","Solid Tumor","MD-2519","Soft Tissue / Skeletal Muscle Tumours / Malignant / Alveolar rhabdomyosarcoma / (incl. solid, anaplastic)",,
63,"JAX",4239,"alveolar soft part sarcoma",0,0,"OmniDx_0068","Sarcoma","Solid Tumor","MD-0384","Cervical / Mesenchymal tumors and tumor-like conditions / Alveolar soft part sarcoma",,
64,"JAX",4239,"alveolar soft part sarcoma",0,0,"OmniDx_0068","Sarcoma","Solid Tumor","MD-1733","Soft Tissue / Tumours Of Uncertain Differentiation / Malignant / Alveolar soft part sarcoma",,
65,"JAX",4239,"alveolar soft part sarcoma",0,0,"OmniDx_0068","Sarcoma","Solid Tumor","MD-1926","Other Gynecological / Vulva / Soft tissue tumors / Alveolar soft part sarcoma",,
66,"JAX",50894,"ameloblastoma",-1,0,,,,,,,
67,"JAX",3502,"ampulla of Vater adenocarcinoma",0,0,"OmniDx_0025","Liver and Bile Duct Cancer","Solid Tumor","MD-2768","Gallbladder & Extrahepatic bile duct / Epithelial tumors / Malignant carcinoma / ampulla of Vater adenocarcinoma",,
68,"JAX",4932,"ampulla of Vater carcinoma",0,0,"OmniDx_0025","Liver and Bile Duct Cancer","Solid Tumor","MD-2767","Gallbladder & Extrahepatic bile duct / Epithelial tumors / Malignant carcinoma / ampulla of Vater carcinoma",,
69,"JAX",50688,"anal canal cancer",-1,0,"OmniDx_0063","Neuroendocrine Tumors","Solid Tumor","MD-2736","Anus / Epithelial tumors / Neuroendocrine neoplasms",,
70,"JAX",50688,"anal canal cancer",-1,0,"OmniDx_0063","Neuroendocrine Tumors","Solid Tumor","MD-2737","Anus / Epithelial tumors / Neuroendocrine neoplasms / Neuroendcrine carcinoma",,
71,"JAX",50688,"anal canal cancer",-1,0,"OmniDx_0063","Neuroendocrine Tumors","Solid Tumor","MD-2745","Anus / Epithelial tumors / Neuroendocrine neoplasms / Neuroendcrine tumor",,
72,"JAX",50688,"anal canal cancer",-1,0,"OmniDx_0063","Neuroendocrine Tumors","Solid Tumor","MD-2746","Anus / Epithelial tumors / Neuroendocrine neoplasms / Neuroendcrine tumor (G1, carcinoid)",,
73,"JAX",50688,"anal canal cancer",-1,0,"OmniDx_0063","Neuroendocrine Tumors","Solid Tumor","MD-2747","Anus / Epithelial tumors / Neuroendocrine neoplasms / Neuroendcrine tumor (G2)",,
74,"JAX",50688,"anal canal cancer",-1,0,"OmniDx_0063","Neuroendocrine Tumors","Solid Tumor","MD-2748","Anus / Epithelial tumors / Neuroendocrine neoplasms / Neuroendcrine carcinoma / Large cell",,
75,"JAX",50688,"anal canal cancer",-1,0,"OmniDx_0063","Neuroendocrine Tumors","Solid Tumor","MD-2749","Anus / Epithelial tumors / Neuroendocrine neoplasms / Neuroendcrine carcinoma / Small cell",,
76,"JAX",50688,"anal canal cancer",-1,0,"OmniDx_0068","Sarcoma","Solid Tumor","MD-2751","Anus / Mesenchymal tumors / non-lipomatous sarcomas",,
77,"JAX",50688,"anal canal cancer",-1,0,"OmniDx_0068","Sarcoma","Solid Tumor","MD-2752","Anus / Mesenchymal tumors / lipomatous sarcomas",,
78,"JAX",50688,"anal canal cancer",-1,0,"OmniDx_0068","Sarcoma","Solid Tumor","MD-2751","Anus / Mesenchymal tumors / non-lipomatous sarcomas",,
79,"JAX",50688,"anal canal cancer",-1,0,"OmniDx_0068","Sarcoma","Solid Tumor","MD-2752","Anus / Mesenchymal tumors / lipomatous sarcomas",,
80,"JAX",50688,"anal canal cancer",0,0,"OmniDx_0003","Colorectal Cancer","Solid Tumor","MD-2735","Anus / Epithelial tumors / Carcinoma",,
81,"JAX",50688,"anal canal cancer",0,0,"OmniDx_0003","Colorectal Cancer","Solid Tumor","MD-2739","Anus / Epithelial tumors / Carcinoma / Paget disease",,
82,"JAX",50688,"anal canal cancer",0,0,"OmniDx_0003","Colorectal Cancer","Solid Tumor","MD-2740","Anus / Epithelial tumors / Carcinoma / Squamous cell carcinoma",,
83,"JAX",50688,"anal canal cancer",0,0,"OmniDx_0003","Colorectal Cancer","Solid Tumor","MD-2741","Anus / Epithelial tumors / Carcinoma / Verrucous carcinoma",,
84,"JAX",50688,"anal canal cancer",0,0,"OmniDx_0003","Colorectal Cancer","Solid Tumor","MD-2742","Anus / Epithelial tumors / Carcinoma / Undifferentiated carcinoma",,
85,"JAX",50688,"anal canal cancer",0,0,"OmniDx_0003","Colorectal Cancer","Solid Tumor","MD-2743","Anus / Epithelial tumors / Carcinoma / Adenocarcinoma",,
86,"JAX",50688,"anal canal cancer",0,0,"OmniDx_0003","Colorectal Cancer","Solid Tumor","MD-2744","Anus / Epithelial tumors / Carcinoma / Mucinous adenocarcinoma",,
87,"JAX",50688,"anal canal cancer",0,0,"OmniDx_0003","Colorectal Cancer","Solid Tumor","MD-2750","Anus / Epithelial tumors / Neuroendocrine neoplasms / Mixed adenoneuroendocrine carcinoma",,
88,"JAX",6126,"anal canal carcinoma",-1,0,"OmniDx_0063","Neuroendocrine Tumors","Solid Tumor","MD-2736","Anus / Epithelial tumors / Neuroendocrine neoplasms",,
89,"JAX",6126,"anal canal carcinoma",-1,0,"OmniDx_0063","Neuroendocrine Tumors","Solid Tumor","MD-2737","Anus / Epithelial tumors / Neuroendocrine neoplasms / Neuroendcrine carcinoma",,
90,"JAX",6126,"anal canal carcinoma",-1,0,"OmniDx_0063","Neuroendocrine Tumors","Solid Tumor","MD-2745","Anus / Epithelial tumors / Neuroendocrine neoplasms / Neuroendcrine tumor",,
91,"JAX",6126,"anal canal carcinoma",-1,0,"OmniDx_0063","Neuroendocrine Tumors","Solid Tumor","MD-2746","Anus / Epithelial tumors / Neuroendocrine neoplasms / Neuroendcrine tumor (G1, carcinoid)",,
92,"JAX",6126,"anal canal carcinoma",-1,0,"OmniDx_0063","Neuroendocrine Tumors","Solid Tumor","MD-2747","Anus / Epithelial tumors / Neuroendocrine neoplasms / Neuroendcrine tumor (G2)",,
93,"JAX",6126,"anal canal carcinoma",-1,0,"OmniDx_0063","Neuroendocrine Tumors","Solid Tumor","MD-2748","Anus / Epithelial tumors / Neuroendocrine neoplasms / Neuroendcrine carcinoma / Large cell",,
94,"JAX",6126,"anal canal carcinoma",-1,0,"OmniDx_0063","Neuroendocrine Tumors","Solid Tumor","MD-2749","Anus / Epithelial tumors / Neuroendocrine neoplasms / Neuroendcrine carcinoma / Small cell",,
95,"JAX",6126,"anal canal carcinoma",-1,0,"OmniDx_0068","Sarcoma","Solid Tumor","MD-2751","Anus / Mesenchymal tumors / non-lipomatous sarcomas",,
96,"JAX",6126,"anal canal carcinoma",-1,0,"OmniDx_0068","Sarcoma","Solid Tumor","MD-2752","Anus / Mesenchymal tumors / lipomatous sarcomas",,
97,"JAX",6126,"anal canal carcinoma",-1,0,"OmniDx_0068","Sarcoma","Solid Tumor","MD-2751","Anus / Mesenchymal tumors / non-lipomatous sarcomas",,
98,"JAX",6126,"anal canal carcinoma",-1,0,"OmniDx_0068","Sarcoma","Solid Tumor","MD-2752","Anus / Mesenchymal tumors / lipomatous sarcomas",,
99,"JAX",6126,"anal canal carcinoma",0,0,"OmniDx_0003","Colorectal Cancer","Solid Tumor","MD-2735","Anus / Epithelial tumors / Carcinoma",,
100,"JAX",6126,"anal canal carcinoma",0,0,"OmniDx_0003","Colorectal Cancer","Solid Tumor","MD-2739","Anus / Epithelial tumors / Carcinoma / Paget disease",,
101,"JAX",6126,"anal canal carcinoma",0,0,"OmniDx_0003","Colorectal Cancer","Solid Tumor","MD-2740","Anus / Epithelial tumors / Carcinoma / Squamous cell carcinoma",,
102,"JAX",6126,"anal canal carcinoma",0,0,"OmniDx_0003","Colorectal Cancer","Solid Tumor","MD-2741","Anus / Epithelial tumors / Carcinoma / Verrucous carcinoma",,
103,"JAX",6126,"anal canal carcinoma",0,0,"OmniDx_0003","Colorectal Cancer","Solid Tumor","MD-2742","Anus / Epithelial tumors / Carcinoma / Undifferentiated carcinoma",,
104,"JAX",6126,"anal canal carcinoma",0,0,"OmniDx_0003","Colorectal Cancer","Solid Tumor","MD-2743","Anus / Epithelial tumors / Carcinoma / Adenocarcinoma",,
105,"JAX",6126,"anal canal carcinoma",0,0,"OmniDx_0003","Colorectal Cancer","Solid Tumor","MD-2744","Anus / Epithelial tumors / Carcinoma / Mucinous adenocarcinoma",,
106,"JAX",6126,"anal canal carcinoma",0,0,"OmniDx_0003","Colorectal Cancer","Solid Tumor","MD-2750","Anus / Epithelial tumors / Neuroendocrine neoplasms / Mixed adenoneuroendocrine carcinoma",,
107,"JAX",7177,"anal canal squamous cell carcinoma",0,0,"OmniDx_0003","Colorectal Cancer","Solid Tumor","MD-2740","Anus / Epithelial tumors / Carcinoma / Squamous cell carcinoma",,
108,"JAX",7177,"anal canal squamous cell carcinoma",-1,0,"OmniDx_0063","Neuroendocrine Tumors","Solid Tumor",,,,
109,"JAX",4908,"anal carcinoma",-1,0,"OmniDx_0063","Neuroendocrine Tumors","Solid Tumor","MD-2736","Anus / Epithelial tumors / Neuroendocrine neoplasms",,
110,"JAX",4908,"anal carcinoma",-1,0,"OmniDx_0063","Neuroendocrine Tumors","Solid Tumor","MD-2737","Anus / Epithelial tumors / Neuroendocrine neoplasms / Neuroendcrine carcinoma",,
111,"JAX",4908,"anal carcinoma",-1,0,"OmniDx_0063","Neuroendocrine Tumors","Solid Tumor","MD-2745","Anus / Epithelial tumors / Neuroendocrine neoplasms / Neuroendcrine tumor",,
112,"JAX",4908,"anal carcinoma",-1,0,"OmniDx_0063","Neuroendocrine Tumors","Solid Tumor","MD-2746","Anus / Epithelial tumors / Neuroendocrine neoplasms / Neuroendcrine tumor (G1, carcinoid)",,
113,"JAX",4908,"anal carcinoma",-1,0,"OmniDx_0063","Neuroendocrine Tumors","Solid Tumor","MD-2747","Anus / Epithelial tumors / Neuroendocrine neoplasms / Neuroendcrine tumor (G2)",,
114,"JAX",4908,"anal carcinoma",-1,0,"OmniDx_0063","Neuroendocrine Tumors","Solid Tumor","MD-2748","Anus / Epithelial tumors / Neuroendocrine neoplasms / Neuroendcrine carcinoma / Large cell",,
115,"JAX",4908,"anal carcinoma",-1,0,"OmniDx_0063","Neuroendocrine Tumors","Solid Tumor","MD-2749","Anus / Epithelial tumors / Neuroendocrine neoplasms / Neuroendcrine carcinoma / Small cell",,
116,"JAX",4908,"anal carcinoma",-1,0,"OmniDx_0068","Sarcoma","Solid Tumor","MD-2751","Anus / Mesenchymal tumors / non-lipomatous sarcomas",,
117,"JAX",4908,"anal carcinoma",-1,0,"OmniDx_0068","Sarcoma","Solid Tumor","MD-2752","Anus / Mesenchymal tumors / lipomatous sarcomas",,
118,"JAX",4908,"anal carcinoma",-1,0,"OmniDx_0068","Sarcoma","Solid Tumor","MD-2751","Anus / Mesenchymal tumors / non-lipomatous sarcomas",,
119,"JAX",4908,"anal carcinoma",-1,0,"OmniDx_0068","Sarcoma","Solid Tumor","MD-2752","Anus / Mesenchymal tumors / lipomatous sarcomas",,
120,"JAX",4908,"anal carcinoma",0,0,"OmniDx_0003","Colorectal Cancer","Solid Tumor","MD-2735","Anus / Epithelial tumors / Carcinoma",,
121,"JAX",4908,"anal carcinoma",0,0,"OmniDx_0003","Colorectal Cancer","Solid Tumor","MD-2739","Anus / Epithelial tumors / Carcinoma / Paget disease",,
122,"JAX",4908,"anal carcinoma",0,0,"OmniDx_0003","Colorectal Cancer","Solid Tumor","MD-2740","Anus / Epithelial tumors / Carcinoma / Squamous cell carcinoma",,
123,"JAX",4908,"anal carcinoma",0,0,"OmniDx_0003","Colorectal Cancer","Solid Tumor","MD-2741","Anus / Epithelial tumors / Carcinoma / Verrucous carcinoma",,
124,"JAX",4908,"anal carcinoma",0,0,"OmniDx_0003","Colorectal Cancer","Solid Tumor","MD-2742","Anus / Epithelial tumors / Carcinoma / Undifferentiated carcinoma",,
125,"JAX",4908,"anal carcinoma",0,0,"OmniDx_0003","Colorectal Cancer","Solid Tumor","MD-2743","Anus / Epithelial tumors / Carcinoma / Adenocarcinoma",,
126,"JAX",4908,"anal carcinoma",0,0,"OmniDx_0003","Colorectal Cancer","Solid Tumor","MD-2744","Anus / Epithelial tumors / Carcinoma / Mucinous adenocarcinoma",,
127,"JAX",4908,"anal carcinoma",0,0,"OmniDx_0003","Colorectal Cancer","Solid Tumor","MD-2750","Anus / Epithelial tumors / Neuroendocrine neoplasms / Mixed adenoneuroendocrine carcinoma",,
128,"JAX",12239,"anal margin squamous cell carcinoma",0,0,"OmniDx_0003","Colorectal Cancer","Solid Tumor","MD-2740","Anus / Epithelial tumors / Carcinoma / Squamous cell carcinoma",,
129,"JAX",5525,"anal squamous cell carcinoma",0,0,"OmniDx_0003","Colorectal Cancer","Solid Tumor","MD-2740","Anus / Epithelial tumors / Carcinoma / Squamous cell carcinoma",,
130,"JAX",5525,"anal squamous cell carcinoma",-1,0,"OmniDx_0063","Neuroendocrine Tumors","Solid Tumor",,,,
131,"JAX",50744,"anaplastic large cell lymphoma",0,-1,,,,,,,
132,"JAX",111147,"angioimmunoblastic T-cell lymphoma",0,-1,,,,,,,
133,"JAX",1816,"angiosarcoma",0,0,"OmniDx_0068","Sarcoma","Solid Tumor","MD-0839","Soft Tissue / Vascular Tumours / Malignant",,
134,"JAX",14110,"anus cancer",-1,0,"OmniDx_0063","Neuroendocrine Tumors","Solid Tumor","MD-2736","Anus / Epithelial tumors / Neuroendocrine neoplasms",,
135,"JAX",14110,"anus cancer",-1,0,"OmniDx_0063","Neuroendocrine Tumors","Solid Tumor","MD-2737","Anus / Epithelial tumors / Neuroendocrine neoplasms / Neuroendcrine carcinoma",,
136,"JAX",14110,"anus cancer",-1,0,"OmniDx_0063","Neuroendocrine Tumors","Solid Tumor","MD-2745","Anus / Epithelial tumors / Neuroendocrine neoplasms / Neuroendcrine tumor",,
137,"JAX",14110,"anus cancer",-1,0,"OmniDx_0063","Neuroendocrine Tumors","Solid Tumor","MD-2746","Anus / Epithelial tumors / Neuroendocrine neoplasms / Neuroendcrine tumor (G1, carcinoid)",,
138,"JAX",14110,"anus cancer",-1,0,"OmniDx_0063","Neuroendocrine Tumors","Solid Tumor","MD-2747","Anus / Epithelial tumors / Neuroendocrine neoplasms / Neuroendcrine tumor (G2)",,
139,"JAX",14110,"anus cancer",-1,0,"OmniDx_0063","Neuroendocrine Tumors","Solid Tumor","MD-2748","Anus / Epithelial tumors / Neuroendocrine neoplasms / Neuroendcrine carcinoma / Large cell",,
140,"JAX",14110,"anus cancer",-1,0,"OmniDx_0063","Neuroendocrine Tumors","Solid Tumor","MD-2749","Anus / Epithelial tumors / Neuroendocrine neoplasms / Neuroendcrine carcinoma / Small cell",,
141,"JAX",14110,"anus cancer",-1,0,"OmniDx_0068","Sarcoma","Solid Tumor","MD-2751","Anus / Mesenchymal tumors / non-lipomatous sarcomas",,
142,"JAX",14110,"anus cancer",-1,0,"OmniDx_0068","Sarcoma","Solid Tumor","MD-2752","Anus / Mesenchymal tumors / lipomatous sarcomas",,
143,"JAX",14110,"anus cancer",-1,0,"OmniDx_0068","Sarcoma","Solid Tumor","MD-2751","Anus / Mesenchymal tumors / non-lipomatous sarcomas",,
144,"JAX",14110,"anus cancer",-1,0,"OmniDx_0068","Sarcoma","Solid Tumor","MD-2752","Anus / Mesenchymal tumors / lipomatous sarcomas",,
145,"JAX",14110,"anus cancer",0,0,"OmniDx_0003","Colorectal Cancer","Solid Tumor","MD-2735","Anus / Epithelial tumors / Carcinoma",,
146,"JAX",14110,"anus cancer",0,0,"OmniDx_0003","Colorectal Cancer","Solid Tumor","MD-2739","Anus / Epithelial tumors / Carcinoma / Paget disease",,
147,"JAX",14110,"anus cancer",0,0,"OmniDx_0003","Colorectal Cancer","Solid Tumor","MD-2740","Anus / Epithelial tumors / Carcinoma / Squamous cell carcinoma",,
148,"JAX",14110,"anus cancer",0,0,"OmniDx_0003","Colorectal Cancer","Solid Tumor","MD-2741","Anus / Epithelial tumors / Carcinoma / Verrucous carcinoma",,
149,"JAX",14110,"anus cancer",0,0,"OmniDx_0003","Colorectal Cancer","Solid Tumor","MD-2742","Anus / Epithelial tumors / Carcinoma / Undifferentiated carcinoma",,
